Sample,Datasize,QuickSelect Time,DeterministicSelect Time,QuickSortSelect Time,QuickSelect Partitioning Stages,DeterministicSelect Partitioning Stages,QuicksSortSelect Partitioning Stages
1,1000000,0.65,0.14,0.25,27,12255,1333005
2,1000000,0.66,0.14,0.24,31,12018,1333139
3,1000000,0.66,0.14,0.24,22,12583,1333283
4,1000000,0.62,0.14,0.24,26,11908,1333499
5,1000000,0.62,0.14,0.24,30,12326,1334091
6,1000000,0.63,0.14,0.24,24,12591,1333501
7,1000000,0.62,0.14,0.25,23,12051,1333487
8,1000000,0.63,0.14,0.24,17,11798,1334323
9,1000000,0.62,0.14,0.24,32,11689,1332791
10,1000000,0.64,0.14,0.24,27,12325,1333041
11,1000000,0.63,0.14,0.25,22,12259,1333181
12,1000000,0.66,0.14,0.25,24,12013,1332541
13,1000000,0.64,0.14,0.24,25,12226,1333229
14,1000000,0.65,0.14,0.24,23,12480,1333303
15,1000000,0.64,0.14,0.24,26,11835,1333279
16,1000000,0.63,0.14,0.24,25,12344,1333769
17,1000000,0.66,0.14,0.24,16,12486,1334277
18,1000000,0.61,0.14,0.24,27,12184,1333391
19,1000000,0.65,0.14,0.24,13,11960,1333093
20,1000000,0.63,0.14,0.24,24,11935,1333299
21,1000000,0.66,0.14,0.24,23,12026,1334157
22,1000000,0.63,0.14,0.24,28,12106,1333705
23,1000000,0.61,0.14,0.24,26,12444,1333369
24,1000000,0.64,0.14,0.24,26,12011,1333235
25,1000000,0.62,0.14,0.24,30,12136,1332827
26,1000000,0.62,0.14,0.24,12,12407,1333503
27,1000000,0.62,0.14,0.25,26,11784,1333725
28,1000000,0.62,0.14,0.24,23,12285,1333317
29,1000000,0.62,0.14,0.24,23,12376,1332887
30,1000000,0.64,0.14,0.24,24,12293,1333933
31,1000000,0.63,0.14,0.24,24,12191,1332945
32,1000000,0.63,0.14,0.24,29,12160,1333419
33,1000000,0.63,0.14,0.25,23,12180,1334161
34,1000000,0.63,0.14,0.24,26,12288,1333253
35,1000000,0.64,0.14,0.24,32,11915,1334309
36,1000000,0.66,0.14,0.24,26,12438,1332707
37,1000000,0.68,0.14,0.24,26,12470,1333611
38,1000000,0.63,0.14,0.24,19,11986,1333383
39,1000000,0.64,0.14,0.24,18,12144,1333683
40,1000000,0.71,0.14,0.24,32,12322,1333631
41,1000000,0.63,0.14,0.24,22,11885,1333817
42,1000000,0.66,0.14,0.24,20,12477,1333091
43,1000000,0.66,0.14,0.24,32,12274,1333167
44,1000000,0.64,0.14,0.24,24,12080,1333003
45,1000000,0.64,0.14,0.24,36,11926,1332895
46,1000000,0.62,0.14,0.24,36,12002,1333535
47,1000000,0.62,0.14,0.24,25,12558,1333219
48,1000000,0.62,0.14,0.24,19,12041,1333623
49,1000000,0.60,0.14,0.25,32,11852,1333793
50,1000000,0.62,0.14,0.24,23,12620,1333461
